127.0.0.1 - - [04/Jul/2018:23:13:11 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:13 +0530] "GET /funbook_app/login.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/login.jsp HTTP/1.1" 200 4397
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/animsition/animsition.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/css/font-face.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/font-awesome-4.7/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/bootstrap-4.1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/font-awesome-5/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/mdi-font/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/wow/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/bootstrap-progressbar/bootstrap-progressbar-3.3.4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/slick/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/css-hamburgers/hamburgers.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/select2/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:21 +0530] "GET /funbook_app/vendor/perfect-scrollbar/perfect-scrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jul/2018:23:13:22 +0530] "GET /funbook_app/css/theme.css HTTP/1.1" 304 -
